NodeId;ParentId;Value;Attribute;H;Probabilities;Frequency;H Conditioned;I Conditioned
1;-;-;A2;23.28116;[0.42000, 0.24667, 0.33333];1.00000;23.08284;0.19832
2;1;1;A1;8.51520;[0.34815, 0.28519, 0.36667];0.36000;8.35395;0.16125
5;1;2;A3;5.74689;[0.43684, 0.19474, 0.36842];0.25333;5.68722;0.05968
8;1;3;A1;8.82075;[0.47586, 0.24483, 0.27931];0.38667;8.77211;0.04864
3;2;1;-;3.87067;[0.38623, 0.35061, 0.26316];0.16467;0.00000;0.00000
4;2;2;-;4.48328;[0.31604, 0.23003, 0.45392];0.19533;0.00000;0.00000
6;5;1;-;3.10585;[0.50095, 0.18152, 0.31754];0.14067;0.00000;0.00000
7;5;2;-;2.58137;[0.35680, 0.21124, 0.43195];0.11267;0.00000;0.00000
9;8;1;-;1.84421;[0.55659, 0.24806, 0.19535];0.08600;0.00000;0.00000
10;8;2;A3;6.92790;[0.45277, 0.24390, 0.30333];0.30067;6.91654;0.01135
11;10;1;-;3.16475;[0.44463, 0.22469, 0.33069];0.13773;0.00000;0.00000
12;10;2;-;3.75180;[0.45966, 0.26015, 0.28020];0.16293;0.00000;0.00000

0.1;0.9;0.6;0.3;0.1;0.5;0.5;0.36876;0.22847;0.40278
0.8;0.2;0.1;0.3;0.6;0.4;0.6;0.48316;0.24104;0.27580
